MaterialNr,SerialNr,CheckMode,TestSystem,Description,Date,Time,Error,ErrorCat,Duration,Duration.1,col_31
MatNr2,1503,PrMod3,TSys54,AB-3CD-6,06.12.2023,23:45:14,OK,OK,00:01:45,00:01:45,0.0
MatNr1,1504,PrMod3,TSys32,AB-3CD-0,07.12.2023,00:09:38,OK,OK,00:02:13,00:02:13,0.0
MatNr1,1505,PrMod3,TSys32,AB-2CD-2,07.12.2023,00:29:52,System_issue,System_error,00:02:17,00:02:17,0.0
MatNr2,1506,PrMod3,TSys32,AB-3CD-7,07.12.2023,00:54:38,Angel_to_low,Tolerance_violence,00:02:33,00:02:33,0.0
MatNr2,1507,PrMod4,TSys32,AB-2CD-2,07.12.2023,01:17:32,OK,OK,00:02:03,00:02:03,0.0
MatNr1,1508,PrMod3,TSys54,AB-1CD-7,07.12.2023,01:41:52,OK,OK,00:01:48,00:01:48,0.0
MatNr1,1509,PrMod3,TSys54,AB-1CD-0,07.12.2023,02:07:26,OK,OK,00:02:00,00:02:00,0.0
MatNr2,1510,PrMod3,TSys27,AB-2CD-1,07.12.2023,02:30:49,OK,OK,00:01:37,00:01:37,0.0
MatNr1,1511,PrMod4,TSys27,AB-2CD-0,07.12.2023,02:53:26,System_issue,System_error,00:02:07,00:02:07,0.0
MatNr3,1512,PrMod2,TSys54,AB-1CD-2,07.12.2023,03:18:48,System_issue,System_error,00:02:08,00:02:08,0.0
MatNr3,1513,PrMod3,TSys54,AB-3CD-0,07.12.2023,03:44:07,OK,OK,00:01:49,00:01:49,0.0
MatNr2,1514,PrMod1,TSys27,AB-2CD-6,07.12.2023,04:05:50,OK,OK,00:01:38,00:01:38,-0.0
MatNr3,1515,PrMod3,TSys27,AB-3CD-5,07.12.2023,04:31:42,OK,OK,00:02:17,00:02:17,0.0
MatNr2,1516,PrMod2,TSys32,AB-1CD-8,07.12.2023,04:59:34,OK,OK,00:01:51,00:01:51,0.0
MatNr3,1517,PrMod4,TSys32,AB-2CD-5,07.12.2023,05:20:35,Angel_to_low,Tolerance_violence,00:02:34,00:02:34,0.0
MatNr1,1518,PrMod4,TSys54,AB-2CD-0,07.12.2023,05:45:02,OK,OK,00:02:16,00:02:16,0.0
MatNr3,1519,PrMod4,TSys54,AB-2CD-0,07.12.2023,06:07:53,OK,OK,00:02:22,00:02:22,0.0
MatNr1,1520,PrMod2,TSys54,AB-3CD-2,07.12.2023,06:31:00,OK,OK,00:01:37,00:01:37,0.0
MatNr1,1521,PrMod1,TSys54,AB-3CD-0,07.12.2023,06:52:44,OK,OK,00:01:53,00:01:53,0.0
MatNr1,1522,PrMod2,TSys54,AB-1CD-6,07.12.2023,07:12:49,System_issue,System_error,00:02:04,00:02:04,0.0
MatNr3,1523,PrMod2,TSys27,AB-1CD-3,07.12.2023,07:36:25,OK,OK,00:02:00,00:02:00,0.0
MatNr3,1524,PrMod1,TSys32,AB-3CD-1,07.12.2023,08:02:11,OK,OK,00:01:42,00:01:42,0.0
MatNr2,1525,PrMod3,TSys54,AB-3CD-2,07.12.2023,08:23:10,OK,OK,00:01:56,00:01:56,0.0
MatNr1,1526,PrMod4,TSys54,AB-2CD-2,07.12.2023,08:44:35,OK,OK,00:01:56,00:01:56,0.0
MatNr3,1527,PrMod4,TSys54,AB-3CD-9,07.12.2023,09:09:41,OK,OK,00:02:15,00:02:15,0.0
MatNr1,1528,PrMod2,TSys54,AB-2CD-9,07.12.2023,09:32:31,OK,OK,00:02:17,00:02:17,0.0
MatNr3,1529,PrMod1,TSys32,AB-2CD-9,07.12.2023,09:57:12,OK,OK,00:02:05,00:02:05,0.0
MatNr3,1530,PrMod4,TSys27,AB-3CD-0,07.12.2023,10:21:26,OK,OK,00:01:58,00:01:58,0.0
MatNr3,1531,PrMod2,TSys32,AB-3CD-7,07.12.2023,10:44:16,OK,OK,00:02:16,00:02:16,0.0
MatNr3,1532,PrMod1,TSys54,AB-1CD-1,07.12.2023,11:07:26,OK,OK,00:02:13,00:02:13,0.0
MatNr2,1533,PrMod3,TSys32,AB-2CD-7,07.12.2023,11:32:04,System_issue,System_error,00:01:48,00:01:48,0.0
MatNr1,1534,PrMod3,TSys32,AB-1CD-1,07.12.2023,11:52:19,OK,OK,00:02:00,00:02:00,0.0
MatNr1,1535,PrMod4,TSys27,AB-2CD-5,07.12.2023,12:15:11,OK,OK,00:02:22,00:02:22,0.0
MatNr2,1536,PrMod1,TSys32,AB-1CD-2,07.12.2023,12:41:52,OK,OK,00:02:41,00:02:41,0.0
MatNr1,1537,PrMod2,TSys27,AB-2CD-6,07.12.2023,13:05:11,OK,OK,00:01:49,00:01:49,0.0
MatNr1,1538,PrMod3,TSys27,AB-3CD-8,07.12.2023,13:27:25,Angel_to_low,Tolerance_violence,00:01:40,00:01:40,0.0
MatNr1,1539,PrMod2,TSys54,AB-1CD-7,07.12.2023,13:51:32,OK,OK,00:02:12,00:02:12,0.0
MatNr2,1540,PrMod2,TSys54,AB-3CD-6,07.12.2023,14:13:03,OK,OK,00:01:54,00:01:54,0.0
MatNr3,1541,PrMod3,TSys32,AB-2CD-7,07.12.2023,14:34:39,OK,OK,00:01:52,00:01:52,0.0
MatNr1,1542,PrMod2,TSys27,AB-3CD-8,07.12.2023,14:58:19,OK,OK,00:01:40,00:01:40,0.0
MatNr3,1543,PrMod4,TSys27,AB-3CD-5,07.12.2023,15:22:59,OK,OK,00:02:01,00:02:01,0.0
MatNr3,1544,PrMod1,TSys54,AB-2CD-7,07.12.2023,15:44:13,System_issue,System_error,00:02:16,00:02:16,0.0
MatNr3,1545,PrMod2,TSys54,AB-1CD-7,07.12.2023,16:07:51,OK,OK,00:02:02,00:02:02,0.0
MatNr2,1546,PrMod1,TSys32,AB-2CD-7,07.12.2023,16:33:24,Angel_to_low,Tolerance_violence,00:01:48,00:01:48,0.0
MatNr1,1547,PrMod1,TSys54,AB-3CD-5,07.12.2023,17:01:58,System_issue,System_error,00:01:45,00:01:45,0.0
MatNr1,1548,PrMod3,TSys27,AB-1CD-0,07.12.2023,17:32:29,angel_to_wide,Tolerance_violence,00:01:59,00:01:59,0.0
MatNr1,1549,PrMod4,TSys54,AB-1CD-1,07.12.2023,17:56:39,OK,OK,00:02:22,00:02:22,0.0
MatNr2,1550,PrMod2,TSys32,AB-1CD-0,07.12.2023,18:19:44,OK,OK,00:02:28,00:02:28,0.0
MatNr2,1551,PrMod3,TSys32,AB-1CD-9,07.12.2023,18:43:52,OK,OK,00:01:56,00:01:56,0.0
MatNr3,1552,PrMod4,TSys32,AB-1CD-9,07.12.2023,19:05:30,OK,OK,00:02:22,00:02:22,0.0
MatNr3,1553,PrMod3,TSys32,AB-1CD-4,07.12.2023,19:28:25,OK,OK,00:02:02,00:02:02,0.0
MatNr3,1554,PrMod4,TSys32,AB-2CD-8,07.12.2023,19:50:59,Angel_to_low,Tolerance_violence,00:02:15,00:02:15,0.0
MatNr2,1555,PrMod3,TSys32,AB-3CD-1,07.12.2023,20:14:34,OK,OK,00:01:43,00:01:43,0.0
MatNr3,1556,PrMod3,TSys32,AB-2CD-2,07.12.2023,20:33:53,OK,OK,00:01:53,00:01:53,0.0
MatNr1,1557,PrMod3,TSys54,AB-1CD-4,07.12.2023,20:54:19,Angel_to_low,Tolerance_violence,00:01:30,00:01:30,0.0
MatNr2,1558,PrMod1,TSys27,AB-1CD-0,07.12.2023,21:15:33,OK,OK,00:02:27,00:02:27,0.0
MatNr2,1559,PrMod4,TSys32,AB-1CD-4,07.12.2023,21:40:13,OK,OK,00:02:11,00:02:11,0.0
MatNr1,1560,PrMod4,TSys32,AB-3CD-5,07.12.2023,22:03:35,System_issue,System_error,00:01:57,00:01:57,0.0
MatNr1,1560,PrMod4,TSys32,AB-3CD-5,07.12.2023,22:07:50,System_issue,System_error,00:02:04,00:02:04,0.0
MatNr2,1561,PrMod2,TSys27,AB-3CD-0,07.12.2023,22:31:00,OK,OK,00:02:22,00:02:22,0.0
MatNr3,1562,PrMod2,TSys32,AB-1CD-6,07.12.2023,22:49:32,OK,OK,00:02:19,00:02:19,-0.0
MatNr3,1563,PrMod3,TSys32,AB-1CD-0,07.12.2023,23:12:48,OK,OK,00:01:54,00:01:54,0.0
MatNr1,1564,PrMod3,TSys32,AB-1CD-7,07.12.2023,23:37:20,angel_to_wide,Tolerance_violence,00:01:55,00:01:55,0.0
MatNr2,1565,PrMod1,TSys54,AB-2CD-0,07.12.2023,23:58:00,OK,OK,00:02:27,00:02:27,0.0
MatNr2,1566,PrMod4,TSys54,AB-2CD-9,08.12.2023,00:23:10,OK,OK,00:02:03,00:02:03,0.0
MatNr2,1567,PrMod2,TSys32,AB-2CD-2,08.12.2023,00:44:53,OK,OK,00:01:50,00:01:50,0.0
MatNr1,1568,PrMod4,TSys32,AB-1CD-4,08.12.2023,01:08:31,OK,OK,00:02:04,00:02:04,0.0
MatNr1,1569,PrMod2,TSys27,AB-2CD-9,08.12.2023,01:31:20,OK,OK,00:02:14,00:02:14,0.0
MatNr2,1570,PrMod4,TSys32,AB-1CD-7,08.12.2023,01:55:48,OK,OK,00:01:57,00:01:57,0.0
MatNr2,1571,PrMod4,TSys27,AB-1CD-5,08.12.2023,02:18:30,OK,OK,00:02:01,00:02:01,0.0
MatNr3,1572,PrMod1,TSys27,AB-2CD-9,08.12.2023,02:41:31,OK,OK,00:01:06,00:01:06,0.0
MatNr2,1573,PrMod1,TSys32,AB-2CD-9,08.12.2023,03:04:50,OK,OK,00:02:41,00:02:41,0.0
MatNr3,1574,PrMod2,TSys32,AB-3CD-2,08.12.2023,03:31:10,OK,OK,00:02:02,00:02:02,0.0
MatNr3,1575,PrMod3,TSys54,AB-3CD-9,08.12.2023,03:53:44,System_issue,System_error,00:02:12,00:02:12,0.0
MatNr1,1576,PrMod3,TSys27,AB-3CD-6,08.12.2023,04:16:51,OK,OK,00:01:49,00:01:49,0.0
MatNr3,1577,PrMod2,TSys27,AB-3CD-0,08.12.2023,04:41:11,OK,OK,00:02:16,00:02:16,0.0
MatNr1,1578,PrMod3,TSys32,AB-1CD-3,08.12.2023,05:07:23,OK,OK,00:01:39,00:01:39,0.0
MatNr3,1579,PrMod2,TSys32,AB-1CD-8,08.12.2023,05:29:37,Angel_to_low,Tolerance_violence,00:01:49,00:01:49,0.0
MatNr1,1580,PrMod2,TSys54,AB-2CD-0,08.12.2023,05:52:14,OK,OK,00:02:05,00:02:05,0.0
MatNr1,1581,PrMod2,TSys27,AB-3CD-1,08.12.2023,06:16:15,OK,OK,00:01:35,00:01:35,0.0
MatNr1,1582,PrMod2,TSys27,AB-3CD-2,08.12.2023,06:40:20,OK,OK,00:02:10,00:02:10,0.0
MatNr3,1583,PrMod1,TSys27,AB-2CD-6,08.12.2023,07:05:01,OK,OK,00:01:50,00:01:50,0.0
MatNr1,1584,PrMod4,TSys27,AB-1CD-1,08.12.2023,07:28:25,OK,OK,00:02:06,00:02:06,0.0
MatNr3,1585,PrMod3,TSys27,AB-1CD-9,08.12.2023,07:53:29,OK,OK,00:01:29,00:01:29,0.0
MatNr2,1586,PrMod3,TSys54,AB-3CD-3,08.12.2023,08:17:35,OK,OK,00:01:35,00:01:35,0.0
MatNr1,1587,PrMod1,TSys27,AB-3CD-0,08.12.2023,08:42:54,OK,OK,00:02:03,00:02:03,0.0
MatNr1,1588,PrMod2,TSys32,AB-2CD-1,08.12.2023,09:09:40,OK,OK,00:01:31,00:01:31,0.0
MatNr1,1589,PrMod3,TSys54,AB-2CD-5,08.12.2023,09:35:35,System_issue,System_error,00:02:13,00:02:13,0.0
MatNr1,1590,PrMod2,TSys27,AB-2CD-4,08.12.2023,09:58:29,OK,OK,00:02:14,00:02:14,0.0
MatNr2,1591,PrMod4,TSys27,AB-2CD-5,08.12.2023,10:20:56,OK,OK,00:02:25,00:02:25,0.0
MatNr2,1592,PrMod4,TSys32,AB-1CD-7,08.12.2023,10:43:48,OK,OK,00:02:38,00:02:38,0.0
MatNr3,1593,PrMod3,TSys32,AB-2CD-6,08.12.2023,11:07:05,OK,OK,00:01:42,00:01:42,0.0
MatNr1,1594,PrMod3,TSys32,AB-1CD-8,08.12.2023,11:28:31,OK,OK,00:02:12,00:02:12,0.0
MatNr3,1595,PrMod4,TSys27,AB-2CD-6,08.12.2023,11:55:34,System_issue,System_error,00:02:02,00:02:02,0.0
MatNr2,1596,PrMod4,TSys32,AB-1CD-6,08.12.2023,12:21:27,OK,OK,00:01:28,00:01:28,0.0
MatNr2,1597,PrMod2,TSys54,AB-3CD-6,08.12.2023,12:41:19,OK,OK,00:01:41,00:01:41,0.0
MatNr2,1598,PrMod2,TSys32,AB-1CD-5,08.12.2023,13:05:50,System_issue,System_error,00:01:58,00:01:58,0.0
MatNr2,1598,PrMod2,TSys32,AB-1CD-5,08.12.2023,13:11:04,System_issue,System_error,00:02:29,00:02:29,-0.0
MatNr1,1599,PrMod4,TSys27,AB-3CD-3,08.12.2023,13:33:56,OK,OK,00:01:46,00:01:46,0.0
MatNr3,1600,PrMod4,TSys27,AB-2CD-5,08.12.2023,13:54:03,OK,OK,00:01:52,00:01:52,0.0
MatNr3,1601,PrMod4,TSys27,AB-3CD-5,08.12.2023,14:17:35,OK,OK,00:02:17,00:02:17,0.0
MatNr3,1602,PrMod4,TSys27,AB-1CD-8,08.12.2023,14:40:51,OK,OK,00:01:58,00:01:58,0.0
MatNr2,1603,PrMod1,TSys32,AB-1CD-3,08.12.2023,15:02:34,OK,OK,00:02:10,00:02:10,-0.0
MatNr1,1604,PrMod1,TSys54,AB-2CD-4,08.12.2023,15:24:46,OK,OK,00:01:46,00:01:46,0.0
MatNr3,1605,PrMod3,TSys27,AB-1CD-8,08.12.2023,15:47:19,OK,OK,00:02:00,00:02:00,0.0
MatNr3,1606,PrMod3,TSys32,AB-3CD-3,08.12.2023,16:11:09,OK,OK,00:01:41,00:01:41,0.0
MatNr3,1607,PrMod1,TSys32,AB-2CD-5,08.12.2023,16:33:20,OK,OK,00:02:09,00:02:09,0.0
MatNr3,1608,PrMod2,TSys32,AB-2CD-9,08.12.2023,16:53:44,System_issue,System_error,00:02:02,00:02:02,0.0
MatNr1,1609,PrMod3,TSys27,AB-1CD-8,08.12.2023,17:18:39,OK,OK,00:01:45,00:01:45,0.0
MatNr2,1610,PrMod4,TSys32,AB-1CD-3,08.12.2023,17:42:34,OK,OK,00:01:44,00:01:44,0.0
MatNr2,1611,PrMod4,TSys27,AB-1CD-3,08.12.2023,18:05:37,OK,OK,00:02:09,00:02:09,0.0
MatNr2,1612,PrMod1,TSys27,AB-3CD-9,08.12.2023,18:30:27,OK,OK,00:01:36,00:01:36,0.0
MatNr2,1613,PrMod3,TSys27,AB-2CD-3,08.12.2023,18:54:05,OK,OK,00:02:29,00:02:29,0.0
MatNr3,1614,PrMod3,TSys54,AB-3CD-6,08.12.2023,19:17:39,OK,OK,00:01:30,00:01:30,0.0
MatNr2,1615,PrMod1,TSys27,AB-3CD-1,08.12.2023,19:37:25,OK,OK,00:01:55,00:01:55,0.0
MatNr1,1616,PrMod2,TSys27,AB-3CD-5,08.12.2023,19:58:26,OK,OK,00:02:15,00:02:15,0.0
MatNr3,1617,PrMod4,TSys32,AB-1CD-8,08.12.2023,20:21:25,System_issue,System_error,00:01:43,00:01:43,0.0
MatNr2,1618,PrMod3,TSys32,AB-3CD-5,08.12.2023,20:45:17,OK,OK,00:01:52,00:01:52,0.0
MatNr3,1619,PrMod3,TSys54,AB-1CD-9,08.12.2023,21:08:18,angel_to_wide,Tolerance_violence,00:01:36,00:01:36,-0.0
MatNr1,1620,PrMod1,TSys27,AB-3CD-5,08.12.2023,21:32:03,OK,OK,00:02:08,00:02:08,0.0
MatNr2,1621,PrMod4,TSys54,AB-3CD-3,08.12.2023,21:56:56,OK,OK,00:02:43,00:02:43,0.0
MatNr2,1622,PrMod4,TSys32,AB-3CD-1,08.12.2023,22:21:50,Angel_to_low,Tolerance_violence,00:01:27,00:01:27,0.0
MatNr1,1623,PrMod1,TSys32,AB-1CD-6,08.12.2023,22:46:43,OK,OK,00:02:26,00:02:26,0.0
MatNr2,1624,PrMod2,TSys54,AB-2CD-9,08.12.2023,23:13:04,OK,OK,00:01:52,00:01:52,0.0
MatNr3,1625,PrMod2,TSys54,AB-3CD-7,08.12.2023,23:32:00,OK,OK,00:01:56,00:01:56,0.0
MatNr3,1626,PrMod4,TSys54,AB-1CD-6,08.12.2023,23:55:59,OK,OK,00:02:21,00:02:21,0.0
MatNr1,1627,PrMod4,TSys54,AB-2CD-7,09.12.2023,00:20:15,OK,OK,00:01:43,00:01:43,0.0
MatNr2,1628,PrMod1,TSys27,AB-1CD-0,09.12.2023,00:43:19,OK,OK,00:02:36,00:02:36,0.0
MatNr1,1629,PrMod4,TSys54,AB-1CD-1,09.12.2023,01:07:02,OK,OK,00:01:56,00:01:56,0.0
MatNr3,1630,PrMod2,TSys27,AB-2CD-4,09.12.2023,01:34:41,angel_to_wide,Tolerance_violence,00:01:45,00:01:45,0.0
MatNr3,1631,PrMod4,TSys32,AB-3CD-6,09.12.2023,01:59:05,OK,OK,00:02:17,00:02:17,0.0
MatNr3,1632,PrMod3,TSys32,AB-2CD-1,09.12.2023,02:22:03,OK,OK,00:01:33,00:01:33,0.0
MatNr1,1633,PrMod2,TSys32,AB-2CD-8,09.12.2023,02:45:35,OK,OK,00:01:42,00:01:42,0.0
MatNr2,1634,PrMod4,TSys32,AB-1CD-4,09.12.2023,03:10:41,OK,OK,00:02:00,00:02:00,0.0
MatNr2,1635,PrMod1,TSys32,AB-1CD-1,09.12.2023,03:35:08,OK,OK,00:01:56,00:01:56,0.0
MatNr3,1636,PrMod2,TSys54,AB-2CD-3,09.12.2023,03:58:06,OK,OK,00:01:54,00:01:54,0.0
MatNr2,1637,PrMod3,TSys54,AB-3CD-7,09.12.2023,04:23:06,angel_to_wide,Tolerance_violence,00:01:26,00:01:26,0.0
MatNr1,1638,PrMod1,TSys27,AB-1CD-0,09.12.2023,04:47:59,OK,OK,00:01:54,00:01:54,0.0
MatNr1,1639,PrMod1,TSys27,AB-3CD-2,09.12.2023,05:11:00,OK,OK,00:01:57,00:01:57,0.0
MatNr3,1640,PrMod1,TSys54,AB-1CD-1,09.12.2023,05:32:40,OK,OK,00:01:42,00:01:42,0.0
MatNr1,1641,PrMod1,TSys27,AB-3CD-6,09.12.2023,05:53:08,System_issue,System_error,00:01:55,00:01:55,0.0
MatNr1,1641,PrMod1,TSys27,AB-3CD-6,09.12.2023,05:59:42,System_issue,System_error,00:01:57,00:01:57,0.0
MatNr1,1642,PrMod1,TSys27,AB-3CD-2,09.12.2023,06:23:01,OK,OK,00:01:55,00:01:55,0.0
MatNr3,1643,PrMod4,TSys27,AB-1CD-3,09.12.2023,06:47:26,System_issue,System_error,00:01:29,00:01:29,0.0
MatNr2,1644,PrMod4,TSys27,AB-1CD-1,09.12.2023,07:13:22,OK,OK,00:02:01,00:02:01,0.0
MatNr2,1645,PrMod1,TSys27,AB-1CD-9,09.12.2023,07:35:39,OK,OK,00:02:24,00:02:24,0.0
MatNr2,1646,PrMod2,TSys54,AB-1CD-5,09.12.2023,07:59:02,OK,OK,00:02:00,00:02:00,0.0
MatNr2,1647,PrMod2,TSys27,AB-1CD-5,09.12.2023,08:23:53,System_issue,System_error,00:01:53,00:01:53,0.0
MatNr2,1648,PrMod3,TSys32,AB-3CD-9,09.12.2023,08:55:34,angel_to_wide,Tolerance_violence,00:01:43,00:01:43,0.0
MatNr1,1649,PrMod2,TSys32,AB-2CD-1,09.12.2023,09:17:17,OK,OK,00:02:34,00:02:34,0.0
MatNr3,1650,PrMod3,TSys32,AB-1CD-1,09.12.2023,09:41:21,OK,OK,00:01:33,00:01:33,0.0
MatNr3,1651,PrMod3,TSys32,AB-3CD-9,09.12.2023,10:03:19,angel_to_wide,Tolerance_violence,00:02:03,00:02:03,0.0
MatNr2,1652,PrMod1,TSys54,AB-1CD-2,09.12.2023,10:24:59,angel_to_wide,Tolerance_violence,00:02:08,00:02:08,0.0
MatNr3,1653,PrMod2,TSys27,AB-1CD-5,09.12.2023,10:47:26,angel_to_wide,Tolerance_violence,00:02:07,00:02:07,0.0
MatNr3,1654,PrMod2,TSys32,AB-1CD-9,09.12.2023,11:11:31,OK,OK,00:01:42,00:01:42,0.0
MatNr3,1655,PrMod1,TSys54,AB-2CD-8,09.12.2023,11:35:46,OK,OK,00:01:29,00:01:29,0.0
MatNr3,1656,PrMod2,TSys27,AB-3CD-3,09.12.2023,11:58:16,OK,OK,00:02:11,00:02:11,0.0
MatNr1,1657,PrMod4,TSys32,AB-2CD-9,09.12.2023,12:19:48,System_issue,System_error,00:01:32,00:01:32,0.0
MatNr1,1658,PrMod2,TSys27,AB-1CD-1,09.12.2023,12:45:36,System_issue,System_error,00:01:25,00:01:25,0.0
MatNr1,1659,PrMod2,TSys32,AB-3CD-7,09.12.2023,13:10:28,OK,OK,00:01:44,00:01:44,0.0
MatNr1,1660,PrMod4,TSys54,AB-1CD-0,09.12.2023,13:32:17,OK,OK,00:02:01,00:02:01,0.0
MatNr1,1661,PrMod1,TSys27,AB-2CD-1,09.12.2023,13:57:51,OK,OK,00:01:56,00:01:56,0.0
MatNr2,1662,PrMod2,TSys27,AB-3CD-6,09.12.2023,14:22:39,OK,OK,00:02:17,00:02:17,0.0
MatNr1,1663,PrMod1,TSys32,AB-3CD-2,09.12.2023,14:43:55,OK,OK,00:01:43,00:01:43,0.0
MatNr1,1664,PrMod1,TSys54,AB-2CD-7,09.12.2023,15:05:04,OK,OK,00:02:27,00:02:27,0.0
MatNr1,1665,PrMod2,TSys32,AB-2CD-6,09.12.2023,15:30:27,OK,OK,00:01:46,00:01:46,0.0
MatNr2,1666,PrMod2,TSys27,AB-2CD-0,09.12.2023,15:54:16,System_issue,System_error,00:02:02,00:02:02,0.0
MatNr2,1667,PrMod3,TSys54,AB-2CD-1,09.12.2023,16:16:15,angel_to_wide,Tolerance_violence,00:02:28,00:02:28,0.0
MatNr1,1668,PrMod4,TSys27,AB-2CD-5,09.12.2023,16:39:57,OK,OK,00:02:14,00:02:14,0.0
MatNr1,1669,PrMod1,TSys32,AB-1CD-1,09.12.2023,17:02:01,OK,OK,00:02:27,00:02:27,0.0
MatNr3,1670,PrMod3,TSys32,AB-1CD-5,09.12.2023,17:26:30,OK,OK,00:02:24,00:02:24,0.0
MatNr1,1671,PrMod1,TSys32,AB-2CD-8,09.12.2023,17:51:16,OK,OK,00:02:13,00:02:13,0.0
MatNr1,1672,PrMod3,TSys54,AB-2CD-0,09.12.2023,18:14:18,OK,OK,00:01:18,00:01:18,0.0
MatNr1,1673,PrMod1,TSys27,AB-3CD-7,09.12.2023,18:38:35,OK,OK,00:01:36,00:01:36,0.0
MatNr2,1674,PrMod4,TSys54,AB-1CD-3,09.12.2023,19:01:18,angel_to_wide,Tolerance_violence,00:02:09,00:02:09,0.0
MatNr2,1675,PrMod1,TSys54,AB-3CD-5,09.12.2023,19:27:00,System_issue,System_error,00:01:43,00:01:43,0.0
MatNr1,1676,PrMod2,TSys32,AB-3CD-6,09.12.2023,19:48:39,System_issue,System_error,00:01:36,00:01:36,0.0
MatNr3,1677,PrMod2,TSys32,AB-1CD-0,09.12.2023,20:14:19,angel_to_wide,Tolerance_violence,00:02:00,00:02:00,0.0
MatNr1,1678,PrMod3,TSys54,AB-2CD-1,09.12.2023,20:36:20,OK,OK,00:01:38,00:01:38,0.0
MatNr2,1679,PrMod3,TSys27,AB-2CD-0,09.12.2023,20:55:58,OK,OK,00:01:58,00:01:58,0.0
MatNr2,1680,PrMod1,TSys32,AB-1CD-4,09.12.2023,21:21:12,OK,OK,00:01:40,00:01:40,0.0
MatNr3,1681,PrMod4,TSys32,AB-3CD-1,09.12.2023,21:44:55,OK,OK,00:01:37,00:01:37,0.0
MatNr1,1682,PrMod1,TSys27,AB-1CD-2,09.12.2023,22:07:41,OK,OK,00:01:12,00:01:12,0.0
MatNr1,1683,PrMod3,TSys54,AB-2CD-7,09.12.2023,22:30:08,OK,OK,00:02:21,00:02:21,0.0
MatNr1,1684,PrMod2,TSys27,AB-1CD-2,09.12.2023,22:53:46,System_issue,System_error,00:02:09,00:02:09,0.0
MatNr3,1685,PrMod3,TSys32,AB-1CD-2,09.12.2023,23:17:21,angel_to_wide,Tolerance_violence,00:01:45,00:01:45,0.0
MatNr2,1686,PrMod3,TSys54,AB-2CD-0,09.12.2023,23:40:26,OK,OK,00:01:27,00:01:27,0.0
MatNr2,1687,PrMod1,TSys32,AB-1CD-1,10.12.2023,00:12:17,Angel_to_low,Tolerance_violence,00:01:43,00:01:43,0.0
MatNr1,1688,PrMod1,TSys32,AB-2CD-4,10.12.2023,00:34:11,OK,OK,00:01:49,00:01:49,0.0
MatNr1,1689,PrMod1,TSys32,AB-3CD-2,10.12.2023,00:58:15,System_issue,System_error,00:01:55,00:01:55,0.0
MatNr1,1689,PrMod1,TSys32,AB-3CD-2,10.12.2023,01:03:05,System_issue,System_error,00:02:25,00:02:25,0.0
MatNr1,1690,PrMod2,TSys32,AB-3CD-0,10.12.2023,01:25:39,angel_to_wide,Tolerance_violence,00:01:43,00:01:43,0.0
MatNr2,1691,PrMod1,TSys32,AB-1CD-6,10.12.2023,01:45:15,OK,OK,00:02:25,00:02:25,0.0
MatNr3,1692,PrMod1,TSys32,AB-2CD-2,10.12.2023,02:10:25,OK,OK,00:01:25,00:01:25,0.0
MatNr1,1693,PrMod4,TSys32,AB-3CD-6,10.12.2023,02:34:12,OK,OK,00:02:32,00:02:32,0.0
MatNr3,1694,PrMod4,TSys32,AB-3CD-7,10.12.2023,03:00:08,OK,OK,00:02:18,00:02:18,0.0
MatNr2,1695,PrMod1,TSys32,AB-3CD-0,10.12.2023,03:23:04,OK,OK,00:02:04,00:02:04,0.0
MatNr2,1696,PrMod3,TSys54,AB-1CD-8,10.12.2023,03:43:49,OK,OK,00:01:27,00:01:27,0.0
MatNr3,1697,PrMod3,TSys32,AB-1CD-6,10.12.2023,04:05:43,OK,OK,00:01:56,00:01:56,0.0
MatNr3,1698,PrMod3,TSys32,AB-3CD-3,10.12.2023,04:31:21,System_issue,System_error,00:01:43,00:01:43,0.0
MatNr2,1699,PrMod1,TSys54,AB-1CD-2,10.12.2023,04:52:57,OK,OK,00:01:48,00:01:48,0.0
MatNr2,1700,PrMod1,TSys54,AB-2CD-2,10.12.2023,05:14:10,System_issue,System_error,00:01:29,00:01:29,0.0
MatNr1,1701,PrMod3,TSys32,AB-3CD-1,10.12.2023,05:35:24,OK,OK,00:02:03,00:02:03,0.0
MatNr2,1702,PrMod4,TSys27,AB-1CD-4,10.12.2023,05:57:32,OK,OK,00:02:17,00:02:17,0.0
MatNr3,1703,PrMod1,TSys54,AB-3CD-5,10.12.2023,06:20:39,OK,OK,00:02:01,00:02:01,0.0
MatNr1,1704,PrMod1,TSys27,AB-1CD-2,10.12.2023,06:42:13,OK,OK,00:02:11,00:02:11,0.0
MatNr2,1705,PrMod2,TSys32,AB-3CD-3,10.12.2023,07:06:54,OK,OK,00:01:44,00:01:44,0.0
MatNr2,1706,PrMod3,TSys54,AB-2CD-3,10.12.2023,07:31:20,Angel_to_low,Tolerance_violence,00:01:50,00:01:50,0.0
MatNr3,1707,PrMod1,TSys32,AB-3CD-3,10.12.2023,07:54:18,OK,OK,00:02:04,00:02:04,0.0
MatNr1,1708,PrMod3,TSys27,AB-2CD-3,10.12.2023,08:18:28,OK,OK,00:02:08,00:02:08,0.0
MatNr3,1709,PrMod1,TSys27,AB-3CD-2,10.12.2023,08:40:18,OK,OK,00:01:55,00:01:55,0.0
MatNr1,1710,PrMod1,TSys32,AB-3CD-9,10.12.2023,09:07:25,OK,OK,00:01:37,00:01:37,0.0
