MaterialNr,SerialNr,CheckMode,TestSystem,Description,Date,Time,Error,ErrorCat,Duration,Duration.1
MatNr2,1221,PrMod3,TSys27,AB-2CD-6,04.09.2024,12:27:54,System_issue,System_error,00:01:30,00:01:30
MatNr2,1222,PrMod3,TSys32,AB-2CD-0,04.09.2024,12:53:43,OK,OK,00:02:15,00:02:15
MatNr2,1223,PrMod4,TSys32,AB-1CD-0,04.09.2024,13:16:15,OK,OK,00:02:29,00:02:29
MatNr2,1224,PrMod4,TSys32,AB-2CD-3,04.09.2024,13:40:36,Angel_to_low,Tolerance_violence,00:01:41,00:01:41
MatNr2,1225,PrMod1,TSys32,AB-3CD-7,04.09.2024,14:02:12,OK,OK,00:02:04,00:02:04
MatNr1,1226,PrMod1,TSys54,AB-3CD-9,04.09.2024,14:24:38,OK,OK,00:01:57,00:01:57
MatNr3,1227,PrMod3,TSys32,AB-1CD-7,04.09.2024,14:49:11,OK,OK,00:02:13,00:02:13
MatNr1,1228,PrMod2,TSys32,AB-1CD-6,04.09.2024,15:10:50,OK,OK,00:02:04,00:02:04
MatNr1,1229,PrMod1,TSys32,AB-1CD-5,04.09.2024,15:34:29,OK,OK,00:01:51,00:01:51
MatNr1,1230,PrMod3,TSys27,AB-3CD-3,04.09.2024,15:57:31,OK,OK,00:01:26,00:01:26
MatNr2,1231,PrMod3,TSys54,AB-3CD-5,04.09.2024,16:25:51,temperature_to_high,Tolerance_violence,00:01:39,00:01:39
MatNr2,1232,PrMod2,TSys54,AB-3CD-3,04.09.2024,16:49:37,OK,OK,00:01:20,00:01:20
MatNr3,1233,PrMod3,TSys54,AB-1CD-3,04.09.2024,17:13:46,OK,OK,00:01:38,00:01:38
MatNr2,1234,PrMod1,TSys27,AB-2CD-3,04.09.2024,17:33:22,OK,OK,00:02:23,00:02:23
MatNr1,1235,PrMod3,TSys54,AB-2CD-5,04.09.2024,17:55:15,OK,OK,00:01:50,00:01:50
MatNr3,1236,PrMod2,TSys54,AB-2CD-5,04.09.2024,18:22:28,OK,OK,00:02:13,00:02:13
MatNr1,1237,PrMod3,TSys54,AB-1CD-7,04.09.2024,18:46:37,OK,OK,00:01:18,00:01:18
MatNr2,1238,PrMod4,TSys54,AB-3CD-4,04.09.2024,19:07:49,OK,OK,00:01:44,00:01:44
MatNr2,1239,PrMod1,TSys54,AB-3CD-9,04.09.2024,19:29:54,OK,OK,00:01:29,00:01:29
MatNr1,1240,PrMod3,TSys32,AB-3CD-9,04.09.2024,19:56:11,OK,OK,00:01:33,00:01:33
MatNr1,1241,PrMod1,TSys27,AB-1CD-1,04.09.2024,20:18:16,OK,OK,00:02:07,00:02:07
MatNr3,1242,PrMod4,TSys32,AB-3CD-6,04.09.2024,20:41:16,angel_to_wide,Tolerance_violence,00:01:58,00:01:58
MatNr3,1243,PrMod3,TSys27,AB-1CD-8,04.09.2024,21:04:07,OK,OK,00:01:36,00:01:36
MatNr3,1244,PrMod1,TSys54,AB-2CD-5,04.09.2024,21:27:42,OK,OK,00:02:30,00:02:30
MatNr3,1245,PrMod3,TSys54,AB-2CD-3,04.09.2024,21:51:47,OK,OK,00:01:33,00:01:33
MatNr2,1246,PrMod3,TSys32,AB-3CD-0,04.09.2024,22:14:34,OK,OK,00:02:04,00:02:04
MatNr2,1247,PrMod3,TSys32,AB-1CD-4,04.09.2024,22:38:20,System_issue,System_error,00:02:22,00:02:22
MatNr2,1248,PrMod3,TSys27,AB-2CD-4,04.09.2024,23:02:19,OK,OK,00:02:08,00:02:08
MatNr1,1249,PrMod3,TSys32,AB-3CD-6,04.09.2024,23:25:51,OK,OK,00:02:02,00:02:02
MatNr1,1250,PrMod1,TSys32,AB-3CD-7,04.09.2024,23:52:14,angel_to_wide,Tolerance_violence,00:01:58,00:01:58
MatNr1,1251,PrMod4,TSys32,AB-1CD-7,05.09.2024,00:19:14,OK,OK,00:01:49,00:01:49
MatNr2,1252,PrMod2,TSys27,AB-3CD-8,05.09.2024,00:42:07,OK,OK,00:02:00,00:02:00
MatNr1,1253,PrMod3,TSys27,AB-1CD-7,05.09.2024,01:02:32,OK,OK,00:01:52,00:01:52
MatNr3,1254,PrMod2,TSys27,AB-1CD-7,05.09.2024,01:23:26,OK,OK,00:01:26,00:01:26
MatNr2,1255,PrMod4,TSys54,AB-2CD-6,05.09.2024,01:47:19,System_issue,System_error,00:01:44,00:01:44
MatNr1,1256,PrMod4,TSys32,AB-1CD-5,05.09.2024,02:10:51,Angel_to_low,Tolerance_violence,00:01:53,00:01:53
MatNr2,1257,PrMod1,TSys32,AB-3CD-2,05.09.2024,02:32:43,System_issue,System_error,00:01:52,00:01:52
MatNr3,1258,PrMod3,TSys32,AB-3CD-6,05.09.2024,02:54:32,OK,OK,00:01:19,00:01:19
MatNr3,1259,PrMod2,TSys54,AB-3CD-3,05.09.2024,03:12:48,angel_to_wide,Tolerance_violence,00:01:26,00:01:26
MatNr3,1260,PrMod1,TSys32,AB-3CD-6,05.09.2024,03:35:17,angel_to_wide,Tolerance_violence,00:02:11,00:02:11
MatNr3,1261,PrMod2,TSys32,AB-1CD-8,05.09.2024,03:59:25,OK,OK,00:02:33,00:02:33
MatNr1,1262,PrMod4,TSys27,AB-3CD-1,05.09.2024,04:26:02,OK,OK,00:01:59,00:01:59
MatNr2,1263,PrMod4,TSys32,AB-2CD-9,05.09.2024,04:49:17,Angel_to_low,Tolerance_violence,00:01:52,00:01:52
MatNr3,1264,PrMod2,TSys54,AB-2CD-2,05.09.2024,05:15:56,OK,OK,00:01:53,00:01:53
MatNr2,1265,PrMod1,TSys32,AB-2CD-7,05.09.2024,05:40:56,OK,OK,00:02:33,00:02:33
MatNr1,1266,PrMod3,TSys27,AB-2CD-0,05.09.2024,06:04:39,System_issue,System_error,00:01:58,00:01:58
MatNr1,1266,PrMod3,TSys27,AB-2CD-0,05.09.2024,06:07:37,System_issue,System_error,00:01:44,00:01:44
MatNr1,1267,PrMod3,TSys27,AB-3CD-2,05.09.2024,06:30:25,OK,OK,00:02:05,00:02:05
MatNr2,1268,PrMod3,TSys54,AB-1CD-2,05.09.2024,06:51:28,OK,OK,00:01:56,00:01:56
MatNr3,1269,PrMod4,TSys54,AB-2CD-1,05.09.2024,07:15:13,OK,OK,00:01:59,00:01:59
MatNr2,1270,PrMod1,TSys27,AB-1CD-8,05.09.2024,07:42:32,OK,OK,00:02:00,00:02:00
MatNr3,1271,PrMod3,TSys32,AB-2CD-6,05.09.2024,08:02:59,OK,OK,00:01:57,00:01:57
MatNr2,1272,PrMod1,TSys32,AB-1CD-2,05.09.2024,08:26:32,OK,OK,00:02:21,00:02:21
MatNr2,1273,PrMod1,TSys32,AB-3CD-5,05.09.2024,08:47:48,OK,OK,00:01:52,00:01:52
MatNr2,1274,PrMod2,TSys27,AB-1CD-6,05.09.2024,09:12:11,OK,OK,00:01:42,00:01:42
MatNr1,1275,PrMod2,TSys54,AB-3CD-5,05.09.2024,09:36:50,OK,OK,00:02:28,00:02:28
MatNr2,1276,PrMod3,TSys54,AB-2CD-9,05.09.2024,09:59:26,OK,OK,00:02:19,00:02:19
MatNr3,1277,PrMod4,TSys54,AB-3CD-1,05.09.2024,10:23:25,OK,OK,00:01:49,00:01:49
MatNr1,1278,PrMod3,TSys27,AB-3CD-4,05.09.2024,10:44:57,OK,OK,00:01:36,00:01:36
MatNr3,1279,PrMod4,TSys32,AB-1CD-5,05.09.2024,11:06:27,OK,OK,00:01:54,00:01:54
MatNr3,1280,PrMod2,TSys54,AB-3CD-5,05.09.2024,11:29:03,OK,OK,00:01:58,00:01:58
MatNr3,1281,PrMod3,TSys54,AB-2CD-4,05.09.2024,11:55:58,Angel_to_low,Tolerance_violence,00:01:34,00:01:34
MatNr1,1282,PrMod1,TSys27,AB-3CD-7,05.09.2024,12:20:20,OK,OK,00:02:13,00:02:13
MatNr3,1283,PrMod1,TSys32,AB-3CD-9,05.09.2024,12:45:55,OK,OK,00:02:03,00:02:03
MatNr3,1284,PrMod2,TSys27,AB-3CD-4,05.09.2024,13:10:00,OK,OK,00:01:54,00:01:54
MatNr2,1285,PrMod4,TSys54,AB-2CD-9,05.09.2024,13:31:15,OK,OK,00:01:43,00:01:43
MatNr3,1286,PrMod2,TSys32,AB-2CD-8,05.09.2024,13:55:40,OK,OK,00:01:42,00:01:42
MatNr1,1287,PrMod4,TSys27,AB-2CD-1,05.09.2024,14:20:46,OK,OK,00:01:55,00:01:55
MatNr1,1288,PrMod2,TSys54,AB-2CD-6,05.09.2024,14:44:11,OK,OK,00:01:58,00:01:58
MatNr1,1289,PrMod3,TSys54,AB-2CD-9,05.09.2024,15:10:36,OK,OK,00:02:17,00:02:17
MatNr1,1290,PrMod2,TSys27,AB-2CD-7,05.09.2024,15:37:48,temperature_to_high,Tolerance_violence,00:01:45,00:01:45
MatNr3,1291,PrMod1,TSys54,AB-2CD-6,05.09.2024,16:00:15,OK,OK,00:01:50,00:01:50
MatNr3,1292,PrMod4,TSys32,AB-1CD-3,05.09.2024,16:22:11,OK,OK,00:01:58,00:01:58
MatNr3,1293,PrMod3,TSys27,AB-2CD-4,05.09.2024,16:44:59,OK,OK,00:01:55,00:01:55
MatNr2,1294,PrMod1,TSys27,AB-2CD-2,05.09.2024,17:06:09,OK,OK,00:02:34,00:02:34
MatNr2,1295,PrMod3,TSys32,AB-1CD-2,05.09.2024,17:28:31,OK,OK,00:01:52,00:01:52
MatNr2,1296,PrMod4,TSys27,AB-1CD-1,05.09.2024,17:51:13,OK,OK,00:01:36,00:01:36
MatNr1,1297,PrMod4,TSys54,AB-3CD-4,05.09.2024,18:14:05,OK,OK,00:01:32,00:01:32
MatNr2,1298,PrMod1,TSys54,AB-3CD-5,05.09.2024,18:38:29,System_issue,System_error,00:02:44,00:02:44
MatNr2,1299,PrMod2,TSys27,AB-3CD-3,05.09.2024,19:02:28,OK,OK,00:02:06,00:02:06
MatNr2,1300,PrMod3,TSys54,AB-3CD-7,05.09.2024,19:28:03,Angel_to_low,Tolerance_violence,00:01:52,00:01:52
MatNr2,1301,PrMod2,TSys27,AB-2CD-2,05.09.2024,19:50:24,OK,OK,00:01:47,00:01:47
MatNr1,1302,PrMod1,TSys27,AB-2CD-5,05.09.2024,20:15:38,OK,OK,00:01:23,00:01:23
MatNr1,1303,PrMod4,TSys27,AB-2CD-5,05.09.2024,20:38:48,OK,OK,00:01:27,00:01:27
MatNr2,1304,PrMod3,TSys54,AB-2CD-8,05.09.2024,21:02:37,OK,OK,00:01:42,00:01:42
MatNr3,1305,PrMod4,TSys32,AB-1CD-7,05.09.2024,21:21:57,OK,OK,00:02:12,00:02:12
MatNr3,1306,PrMod1,TSys54,AB-2CD-1,05.09.2024,21:43:38,OK,OK,00:02:01,00:02:01
MatNr1,1307,PrMod3,TSys27,AB-1CD-1,05.09.2024,22:06:54,OK,OK,00:02:02,00:02:02
MatNr1,1308,PrMod2,TSys27,AB-3CD-1,05.09.2024,22:29:51,OK,OK,00:02:02,00:02:02
MatNr2,1309,PrMod2,TSys27,AB-3CD-9,05.09.2024,22:59:41,angel_to_wide,Tolerance_violence,00:01:18,00:01:18
MatNr2,1310,PrMod1,TSys54,AB-2CD-1,05.09.2024,23:22:46,System_issue,System_error,00:02:15,00:02:15
MatNr1,1311,PrMod2,TSys32,AB-2CD-5,05.09.2024,23:45:58,OK,OK,00:01:46,00:01:46
MatNr2,1312,PrMod4,TSys27,AB-3CD-3,06.09.2024,00:07:29,OK,OK,00:02:24,00:02:24
MatNr2,1313,PrMod3,TSys27,AB-1CD-7,06.09.2024,00:31:08,OK,OK,00:02:16,00:02:16
MatNr3,1314,PrMod1,TSys32,AB-1CD-0,06.09.2024,00:52:04,OK,OK,00:01:55,00:01:55
MatNr1,1315,PrMod4,TSys32,AB-3CD-6,06.09.2024,01:15:17,OK,OK,00:02:01,00:02:01
MatNr3,1316,PrMod2,TSys27,AB-2CD-6,06.09.2024,01:38:30,OK,OK,00:01:54,00:01:54
MatNr2,1317,PrMod3,TSys32,AB-2CD-4,06.09.2024,02:01:17,angel_to_wide,Tolerance_violence,00:02:17,00:02:17
MatNr1,1318,PrMod3,TSys27,AB-1CD-3,06.09.2024,02:25:08,Angel_to_low,Tolerance_violence,00:02:02,00:02:02
MatNr2,1319,PrMod4,TSys32,AB-2CD-1,06.09.2024,02:47:49,OK,OK,00:02:05,00:02:05
MatNr3,1320,PrMod1,TSys54,AB-3CD-0,06.09.2024,03:11:09,OK,OK,00:01:33,00:01:33
MatNr2,1321,PrMod4,TSys27,AB-3CD-6,06.09.2024,03:35:19,OK,OK,00:02:40,00:02:40
MatNr2,1322,PrMod4,TSys32,AB-2CD-0,06.09.2024,04:01:47,OK,OK,00:01:37,00:01:37
MatNr3,1323,PrMod1,TSys27,AB-3CD-9,06.09.2024,04:27:09,OK,OK,00:02:02,00:02:02
MatNr3,1324,PrMod4,TSys27,AB-1CD-1,06.09.2024,04:49:39,OK,OK,00:01:34,00:01:34
MatNr1,1325,PrMod1,TSys32,AB-2CD-3,06.09.2024,05:11:59,OK,OK,00:01:50,00:01:50
MatNr3,1326,PrMod3,TSys54,AB-2CD-2,06.09.2024,05:34:48,temperature_to_high,Tolerance_violence,00:01:36,00:01:36
MatNr2,1327,PrMod3,TSys54,AB-2CD-0,06.09.2024,05:55:08,OK,OK,00:01:53,00:01:53
MatNr1,1328,PrMod3,TSys32,AB-3CD-0,06.09.2024,06:17:23,OK,OK,00:01:43,00:01:43
MatNr2,1329,PrMod3,TSys54,AB-2CD-7,06.09.2024,06:41:51,OK,OK,00:01:11,00:01:11
MatNr1,1330,PrMod4,TSys54,AB-1CD-7,06.09.2024,07:04:32,OK,OK,00:02:25,00:02:25
MatNr3,1331,PrMod2,TSys27,AB-1CD-1,06.09.2024,07:27:45,Angel_to_low,Tolerance_violence,00:02:11,00:02:11
MatNr3,1332,PrMod4,TSys32,AB-2CD-4,06.09.2024,07:52:56,OK,OK,00:02:11,00:02:11
MatNr3,1333,PrMod2,TSys27,AB-1CD-1,06.09.2024,08:16:59,OK,OK,00:01:47,00:01:47
MatNr1,1334,PrMod1,TSys27,AB-3CD-5,06.09.2024,08:39:55,OK,OK,00:01:52,00:01:52
MatNr2,1335,PrMod3,TSys32,AB-1CD-1,06.09.2024,09:01:13,System_issue,System_error,00:02:26,00:02:26
MatNr2,1335,PrMod3,TSys32,AB-1CD-1,06.09.2024,09:07:18,System_issue,System_error,00:01:49,00:01:49
MatNr3,1336,PrMod4,TSys27,AB-1CD-2,06.09.2024,09:31:17,OK,OK,00:01:46,00:01:46
MatNr1,1337,PrMod3,TSys54,AB-1CD-4,06.09.2024,09:55:47,OK,OK,00:01:57,00:01:57
MatNr2,1338,PrMod4,TSys54,AB-1CD-5,06.09.2024,10:19:15,OK,OK,00:01:39,00:01:39
MatNr3,1339,PrMod4,TSys27,AB-3CD-6,06.09.2024,10:45:40,Angel_to_low,Tolerance_violence,00:02:13,00:02:13
MatNr3,1340,PrMod1,TSys32,AB-1CD-5,06.09.2024,11:07:56,OK,OK,00:01:43,00:01:43
MatNr1,1341,PrMod2,TSys27,AB-2CD-1,06.09.2024,11:31:47,angel_to_wide,Tolerance_violence,00:01:38,00:01:38
MatNr3,1342,PrMod4,TSys54,AB-3CD-7,06.09.2024,11:58:14,OK,OK,00:01:45,00:01:45
MatNr2,1343,PrMod1,TSys27,AB-2CD-5,06.09.2024,12:21:45,OK,OK,00:01:31,00:01:31
MatNr1,1344,PrMod1,TSys32,AB-2CD-3,06.09.2024,12:42:47,OK,OK,00:02:02,00:02:02
MatNr3,1345,PrMod3,TSys27,AB-3CD-5,06.09.2024,13:08:43,OK,OK,00:02:22,00:02:22
MatNr3,1346,PrMod2,TSys54,AB-1CD-5,06.09.2024,13:30:52,OK,OK,00:02:38,00:02:38
MatNr2,1347,PrMod4,TSys32,AB-3CD-2,06.09.2024,13:54:36,temperature_to_high,Tolerance_violence,00:01:48,00:01:48
MatNr1,1348,PrMod3,TSys27,AB-3CD-1,06.09.2024,14:16:47,OK,OK,00:02:09,00:02:09
MatNr3,1349,PrMod1,TSys27,AB-2CD-4,06.09.2024,14:40:37,OK,OK,00:01:51,00:01:51
MatNr2,1350,PrMod4,TSys54,AB-1CD-5,06.09.2024,15:04:47,OK,OK,00:01:43,00:01:43
MatNr3,1351,PrMod2,TSys27,AB-3CD-3,06.09.2024,15:29:31,OK,OK,00:02:18,00:02:18
MatNr2,1352,PrMod2,TSys27,AB-3CD-7,06.09.2024,15:59:20,angel_to_wide,Tolerance_violence,00:01:52,00:01:52
MatNr1,1353,PrMod4,TSys32,AB-1CD-8,06.09.2024,16:23:57,OK,OK,00:02:22,00:02:22
MatNr2,1354,PrMod1,TSys27,AB-1CD-2,06.09.2024,16:51:51,Angel_to_low,Tolerance_violence,00:01:43,00:01:43
MatNr3,1355,PrMod1,TSys27,AB-2CD-0,06.09.2024,17:15:13,OK,OK,00:02:14,00:02:14
MatNr1,1356,PrMod4,TSys32,AB-3CD-7,06.09.2024,17:38:38,OK,OK,00:01:59,00:01:59
MatNr1,1357,PrMod3,TSys32,AB-1CD-9,06.09.2024,18:03:02,OK,OK,00:01:46,00:01:46
MatNr3,1358,PrMod2,TSys54,AB-2CD-7,06.09.2024,18:27:53,OK,OK,00:02:34,00:02:34
MatNr2,1359,PrMod4,TSys54,AB-3CD-6,06.09.2024,18:51:29,Angel_to_low,Tolerance_violence,00:02:12,00:02:12
MatNr2,1360,PrMod3,TSys27,AB-1CD-5,06.09.2024,19:15:29,temperature_to_high,Tolerance_violence,00:01:38,00:01:38
MatNr3,1361,PrMod3,TSys54,AB-2CD-2,06.09.2024,19:39:16,OK,OK,00:01:48,00:01:48
MatNr2,1362,PrMod1,TSys32,AB-3CD-2,06.09.2024,20:01:14,Angel_to_low,Tolerance_violence,00:01:59,00:01:59
MatNr1,1363,PrMod1,TSys27,AB-1CD-9,06.09.2024,20:24:24,OK,OK,00:02:33,00:02:33
MatNr2,1364,PrMod4,TSys54,AB-2CD-5,06.09.2024,20:47:04,OK,OK,00:02:11,00:02:11
MatNr1,1365,PrMod3,TSys27,AB-2CD-6,06.09.2024,21:10:55,OK,OK,00:01:25,00:01:25
MatNr3,1366,PrMod2,TSys54,AB-3CD-8,06.09.2024,21:35:42,OK,OK,00:02:24,00:02:24
MatNr3,1367,PrMod3,TSys54,AB-1CD-9,06.09.2024,21:58:04,OK,OK,00:02:20,00:02:20
MatNr3,1368,PrMod2,TSys27,AB-3CD-6,06.09.2024,22:21:10,System_issue,System_error,00:01:24,00:01:24
MatNr2,1369,PrMod3,TSys27,AB-1CD-0,06.09.2024,22:42:01,OK,OK,00:01:48,00:01:48
MatNr3,1370,PrMod4,TSys32,AB-2CD-4,06.09.2024,23:02:31,OK,OK,00:01:54,00:01:54
MatNr3,1371,PrMod4,TSys27,AB-1CD-6,06.09.2024,23:25:18,OK,OK,00:02:33,00:02:33
MatNr2,1372,PrMod1,TSys32,AB-1CD-1,06.09.2024,23:51:01,System_issue,System_error,00:02:48,00:02:48
MatNr1,1373,PrMod1,TSys27,AB-2CD-1,07.09.2024,00:15:55,OK,OK,00:02:14,00:02:14
MatNr1,1374,PrMod2,TSys32,AB-3CD-7,07.09.2024,00:41:39,OK,OK,00:02:14,00:02:14
MatNr3,1375,PrMod1,TSys54,AB-2CD-7,07.09.2024,01:04:38,OK,OK,00:02:02,00:02:02
MatNr2,1376,PrMod2,TSys54,AB-1CD-0,07.09.2024,01:25:46,OK,OK,00:01:19,00:01:19
MatNr1,1377,PrMod1,TSys32,AB-1CD-2,07.09.2024,01:47:53,OK,OK,00:02:03,00:02:03
MatNr1,1378,PrMod4,TSys54,AB-3CD-0,07.09.2024,02:09:53,OK,OK,00:02:02,00:02:02
MatNr1,1379,PrMod3,TSys27,AB-2CD-9,07.09.2024,02:35:58,OK,OK,00:01:54,00:01:54
MatNr2,1380,PrMod3,TSys32,AB-2CD-4,07.09.2024,03:00:22,System_issue,System_error,00:01:33,00:01:33
MatNr3,1381,PrMod4,TSys27,AB-3CD-9,07.09.2024,03:21:37,OK,OK,00:01:54,00:01:54
MatNr2,1382,PrMod3,TSys32,AB-3CD-5,07.09.2024,03:43:58,OK,OK,00:02:28,00:02:28
MatNr2,1383,PrMod2,TSys54,AB-3CD-6,07.09.2024,04:08:46,OK,OK,00:02:35,00:02:35
MatNr3,1384,PrMod3,TSys54,AB-2CD-1,07.09.2024,04:31:01,OK,OK,00:02:02,00:02:02
MatNr2,1385,PrMod3,TSys54,AB-1CD-7,07.09.2024,04:54:32,System_issue,System_error,00:02:09,00:02:09
MatNr2,1386,PrMod1,TSys54,AB-1CD-7,07.09.2024,05:17:41,OK,OK,00:02:33,00:02:33
MatNr3,1387,PrMod3,TSys27,AB-2CD-9,07.09.2024,05:43:42,System_issue,System_error,00:01:28,00:01:28
MatNr3,1388,PrMod4,TSys54,AB-3CD-8,07.09.2024,06:06:22,OK,OK,00:01:47,00:01:47
MatNr1,1389,PrMod1,TSys54,AB-3CD-4,07.09.2024,06:30:17,angel_to_wide,Tolerance_violence,00:02:37,00:02:37
MatNr3,1390,PrMod2,TSys32,AB-2CD-3,07.09.2024,06:53:10,OK,OK,00:01:39,00:01:39
MatNr1,1391,PrMod2,TSys32,AB-3CD-5,07.09.2024,07:14:34,System_issue,System_error,00:03:02,00:03:02
MatNr3,1392,PrMod4,TSys32,AB-2CD-4,07.09.2024,07:39:14,OK,OK,00:02:25,00:02:25
MatNr2,1393,PrMod4,TSys54,AB-1CD-9,07.09.2024,08:04:36,Angel_to_low,Tolerance_violence,00:02:51,00:02:51
MatNr1,1394,PrMod1,TSys27,AB-3CD-4,07.09.2024,08:30:01,angel_to_wide,Tolerance_violence,00:02:17,00:02:17
MatNr3,1395,PrMod4,TSys32,AB-2CD-0,07.09.2024,08:55:19,OK,OK,00:01:36,00:01:36
MatNr3,1396,PrMod2,TSys27,AB-2CD-3,07.09.2024,09:23:19,angel_to_wide,Tolerance_violence,00:01:54,00:01:54
MatNr1,1397,PrMod3,TSys32,AB-3CD-1,07.09.2024,09:47:06,OK,OK,00:01:40,00:01:40
MatNr3,1398,PrMod3,TSys54,AB-1CD-2,07.09.2024,10:09:46,OK,OK,00:02:04,00:02:04
MatNr2,1399,PrMod4,TSys32,AB-3CD-0,07.09.2024,10:33:40,OK,OK,00:01:56,00:01:56
MatNr1,1400,PrMod3,TSys32,AB-2CD-9,07.09.2024,11:02:49,Angel_to_low,Tolerance_violence,00:02:49,00:02:49
MatNr1,1401,PrMod2,TSys27,AB-1CD-1,07.09.2024,11:25:34,OK,OK,00:01:33,00:01:33
MatNr2,1402,PrMod3,TSys54,AB-2CD-2,07.09.2024,11:49:41,OK,OK,00:01:23,00:01:23
MatNr2,1403,PrMod4,TSys27,AB-2CD-1,07.09.2024,12:14:14,System_issue,System_error,00:01:30,00:01:30
MatNr2,1403,PrMod4,TSys27,AB-2CD-1,07.09.2024,12:18:14,System_issue,System_error,00:01:59,00:01:59
MatNr1,1404,PrMod2,TSys32,AB-1CD-7,07.09.2024,12:40:15,OK,OK,00:02:25,00:02:25
MatNr3,1405,PrMod3,TSys54,AB-2CD-9,07.09.2024,13:04:32,OK,OK,00:02:08,00:02:08
MatNr1,1406,PrMod1,TSys32,AB-2CD-7,07.09.2024,13:27:53,OK,OK,00:01:54,00:01:54
MatNr1,1407,PrMod2,TSys54,AB-1CD-3,07.09.2024,13:52:08,temperature_to_high,Tolerance_violence,00:01:43,00:01:43
MatNr1,1408,PrMod2,TSys32,AB-1CD-1,07.09.2024,14:13:49,OK,OK,00:02:04,00:02:04
MatNr3,1409,PrMod2,TSys27,AB-1CD-7,07.09.2024,14:35:52,OK,OK,00:01:42,00:01:42
MatNr3,1410,PrMod3,TSys54,AB-1CD-2,07.09.2024,14:55:16,OK,OK,00:01:56,00:01:56
MatNr1,1411,PrMod2,TSys54,AB-2CD-9,07.09.2024,15:20:07,OK,OK,00:01:44,00:01:44
MatNr3,1412,PrMod3,TSys32,AB-3CD-1,07.09.2024,15:40:52,OK,OK,00:01:15,00:01:15
MatNr1,1413,PrMod3,TSys54,AB-2CD-4,07.09.2024,16:05:17,OK,OK,00:01:47,00:01:47
MatNr2,1414,PrMod2,TSys54,AB-2CD-0,07.09.2024,16:26:01,OK,OK,00:01:40,00:01:40
MatNr3,1415,PrMod1,TSys54,AB-1CD-4,07.09.2024,16:49:40,OK,OK,00:01:29,00:01:29
MatNr1,1416,PrMod4,TSys32,AB-1CD-3,07.09.2024,17:13:46,OK,OK,00:02:18,00:02:18
MatNr1,1417,PrMod3,TSys32,AB-2CD-7,07.09.2024,17:36:25,System_issue,System_error,00:02:13,00:02:13
MatNr2,1418,PrMod1,TSys54,AB-2CD-4,07.09.2024,18:00:08,angel_to_wide,Tolerance_violence,00:02:03,00:02:03
MatNr2,1419,PrMod1,TSys32,AB-3CD-4,07.09.2024,18:24:25,OK,OK,00:01:44,00:01:44
MatNr1,1420,PrMod4,TSys54,AB-1CD-9,07.09.2024,18:47:45,OK,OK,00:02:04,00:02:04
MatNr2,1421,PrMod1,TSys54,AB-2CD-8,07.09.2024,19:09:13,OK,OK,00:02:34,00:02:34
MatNr3,1422,PrMod4,TSys54,AB-3CD-1,07.09.2024,19:39:09,angel_to_wide,Tolerance_violence,00:01:57,00:01:57
MatNr3,1423,PrMod2,TSys32,AB-3CD-0,07.09.2024,20:00:39,OK,OK,00:02:01,00:02:01
MatNr2,1424,PrMod3,TSys54,AB-3CD-3,07.09.2024,20:20:46,OK,OK,00:01:14,00:01:14
MatNr2,1425,PrMod2,TSys32,AB-1CD-2,07.09.2024,20:42:15,OK,OK,00:02:11,00:02:11
MatNr2,1426,PrMod4,TSys54,AB-1CD-2,07.09.2024,21:06:33,OK,OK,00:02:17,00:02:17
MatNr1,1427,PrMod3,TSys27,AB-3CD-6,07.09.2024,21:32:59,OK,OK,00:02:16,00:02:16
MatNr2,1428,PrMod2,TSys54,AB-2CD-9,07.09.2024,21:57:41,OK,OK,00:01:31,00:01:31
MatNr3,1429,PrMod4,TSys32,AB-1CD-5,07.09.2024,22:21:36,Angel_to_low,Tolerance_violence,00:02:15,00:02:15
MatNr3,1430,PrMod1,TSys32,AB-1CD-3,07.09.2024,22:49:32,System_issue,System_error,00:02:04,00:02:04
MatNr1,1431,PrMod1,TSys27,AB-2CD-1,07.09.2024,23:10:35,OK,OK,00:02:11,00:02:11
MatNr1,1432,PrMod1,TSys54,AB-2CD-3,07.09.2024,23:34:04,OK,OK,00:02:25,00:02:25
MatNr2,1433,PrMod1,TSys54,AB-1CD-4,07.09.2024,23:59:59,OK,OK,00:01:54,00:01:54
MatNr3,1434,PrMod3,TSys27,AB-2CD-7,08.09.2024,00:21:41,angel_to_wide,Tolerance_violence,00:02:05,00:02:05
MatNr3,1435,PrMod2,TSys27,AB-3CD-8,08.09.2024,00:44:25,OK,OK,00:01:26,00:01:26
MatNr3,1436,PrMod1,TSys27,AB-3CD-3,08.09.2024,01:09:29,OK,OK,00:01:51,00:01:51
MatNr1,1437,PrMod3,TSys27,AB-3CD-5,08.09.2024,01:33:40,Angel_to_low,Tolerance_violence,00:02:00,00:02:00
MatNr3,1438,PrMod4,TSys27,AB-2CD-0,08.09.2024,01:55:36,OK,OK,00:01:53,00:01:53
MatNr2,1439,PrMod4,TSys32,AB-3CD-7,08.09.2024,02:19:31,OK,OK,00:02:01,00:02:01
MatNr3,1440,PrMod4,TSys32,AB-3CD-4,08.09.2024,02:45:11,OK,OK,00:01:53,00:01:53
MatNr1,1441,PrMod1,TSys27,AB-3CD-0,08.09.2024,03:09:06,OK,OK,00:02:09,00:02:09
